segment_id,points,mean_PRICE_ln,id,mean_chislennost_naseleniya_092025,mean_srednmes_zarplata,mean_temp_prirosta_percent,mean_house_point_count,mean_area_km2,mean_density_hp_per_km2
RKZ71-S314,348,16.755302053085494,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ71-S1406,347,17.26960002760427,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352292,46.11244214639304
RKZ10-S1170,347,16.576196867923496,KZ10,49833.33333333333,349858.1666666666,-1.7957504387894272,8900.0,426717.4764275517,0.02085689124924098
RKZ75-S175,347,17.66559450034113,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ55-S912,346,16.56844610986469,KZ55,57466.461538461546,322668.30769230763,-1.7430768941457457,15354.0,326237.7798687255,0.04706383180445344
RKZ10-S1172,346,16.750756185765017,KZ10,49833.33333333333,349858.16666666657,-1.7957504387894274,8900.0,426717.4764275517,0.02085689124924098
RKZ31-S1192,346,16.576290927495265,KZ31,110702.63636363638,338634.8181818182,-0.956363633275032,8853.0,281483.4929858096,0.031451222613776184
RKZ31-S1186,345,16.471049544659135,KZ31,110702.63636363638,338634.8181818182,-0.956363633275032,8853.0,281483.4929858096,0.03145122261377618
RKZ15-S772,345,16.909935261526247,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374824,0.039769505773121015
RKZ75-S160,345,17.402668054483303,KZ75,265156.2222222222,449734.5555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862044
RKZ55-S956,344,16.57581769022013,KZ55,57466.461538461546,322668.30769230763,-1.7430768941457457,15354.0,326237.7798687255,0.04706383180445344
RKZ19-S1237,344,16.99636858046329,KZ19,152946.9,339552.89999999997,-0.2839999999999999,8655.0,205128.2882101221,0.04219310791076409
RKZ23-S1342,344,17.137625980350048,KZ23,89241.625,479367.625,-0.6275000050663948,10814.0,257825.28019931816,0.04194313292955589
RKZ15-S755,344,16.704088714293555,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
RKZ75-S72,343,17.452205407295526,KZ75,265156.22222222225,449734.55555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862046
RKZ75-S213,343,18.14821513070496,KZ75,265156.22222222225,449734.55555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862046
RKZ15-S782,342,16.921611270861522,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374824,0.039769505773121015
RKZ10-S1152,342,16.646803500779537,KZ10,49833.33333333332,349858.1666666666,-1.7957504387894274,8900.0,426717.47642755177,0.020856891249240984
RKZ31-S1188,342,16.8247822577771,KZ31,110702.6363636364,338634.8181818182,-0.956363633275032,8853.0,281483.4929858096,0.03145122261377618
RKZ55-S955,342,16.94386225508881,KZ55,57466.46153846155,322668.30769230763,-1.743076894145746,15354.0,326237.7798687255,0.04706383180445345
RKZ39-S501,342,16.384254625872373,KZ39,41135.54999999999,326000.05,-1.5620000118389719,35451.0,506678.75796546234,0.06996740921674183
RKZ55-S915,342,17.103966616280935,KZ55,57466.46153846155,322668.30769230763,-1.743076894145746,15354.0,326237.7798687255,0.04706383180445345
RKZ39-S505,342,16.418317523381614,KZ39,41135.54999999999,326000.05,-1.5620000118389719,35451.0,506678.75796546234,0.06996740921674183
RKZ71-S390,342,17.109029874968236,KZ71,320298.0,506373.6666666667,4.891999927163124,83901.0,1819.4872380352292,46.11244214639304
RKZ79-S1007,341,17.380565417760565,KZ79,256825.80000000005,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.1293831460975925
RKZ71-S488,341,17.71161237832906,KZ71,320298.0,506373.6666666666,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ79-S1002,340,17.21330384647358,KZ79,256825.8,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.1293831460975925
RKZ71-S354,340,16.97760438438341,KZ71,320298.0,506373.6666666666,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ10-S1167,340,16.794987071736536,KZ10,49833.33333333333,349858.16666666657,-1.7957504387894272,8900.0,426717.47642755177,0.02085689124924098
RKZ55-S922,339,16.556898777243298,KZ55,57466.461538461546,322668.30769230763,-1.7430768941457457,15354.0,326237.7798687255,0.04706383180445344
RKZ35-S654,339,16.945939101417466,KZ35,87089.38461538461,411027.15384615393,-1.3630769092303054,30946.0,551401.1615688814,0.05612247879919312
RKZ39-S559,339,17.051285199260654,KZ39,41135.549999999996,326000.05,-1.562000011838972,35451.0,506678.7579654624,0.06996740921674183
RKZ31-S1203,339,16.417554772793046,KZ31,110702.63636363638,338634.81818181823,-0.956363633275032,8853.0,281483.4929858096,0.03145122261377618
RKZ39-S493,338,16.388356466307997,KZ39,41135.54999999999,326000.04999999993,-1.5620000118389719,35451.0,506678.75796546234,0.06996740921674184
RKZ47-S798,338,16.61091389181545,KZ47,116436.85714285713,473486.2857142857,0.27428571241242544,18699.0,322714.5706815746,0.05794284392089157
RKZ59-S1281,338,16.843512138085078,KZ59,36903.57142857143,302337.0,-1.8849999955190078,5105.0,280504.4952349849,0.018199351834712774
RKZ75-S199,338,17.394881222355295,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.11705113705,75.01374023862044
RKZ71-S333,338,17.420134135856816,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
